name,rating,number_of_ratings,services,headquarter,highly_rated,critically_rated
Deloitte,3.8,16.8k,Management Consulting,London,"Job Security, Skill Development Learning, Salary & Benefits",Work Life Balance
BYJU'S,3.1,15.9k,EdTech,Bangalore,,"Job Security, Work Life Balance, Company Culture"
Kotak Mahindra Bank,3.8,15.8k,Banking,Mumbai,Job Security,Promotions Appraisal
Reliance Industries,4.0,15.1k,Oil & Gas,Navi,"Job Security, Skill Development Learning, Work Life Balance",Promotions Appraisal
Vodafone Idea,4.1,14.9k,Telecom,Mumbai,"Company Culture, Work Life Balance, Salary & Benefits",
Bharti Airtel,4.0,13.1k,Telecom,Gurgaon/Gurugram,"Skill Development Learning, Salary & Benefits, Job Security",Promotions Appraisal
Tata Motors,4.2,11.4k,Automobile,Pune,"Job Security, Skill Development Learning, Company Culture",
AU Small Finance Bank,4.3,11.2k,Banking,Jaipur,"Skill Development Learning, Job Security, Company Culture",
WNS,3.4,10.5k,BPO,Mumbai,,"Promotions Appraisal, Salary & Benefits, Work Satisfaction"
Flipkart,4.0,10.3k,Internet,Bangalore,"Skill Development Learning, Company Culture, Salary & Benefits",
IndusInd Bank,3.6,10.3k,Banking,Gurgaon/Gurugram,,"Promotions Appraisal, Company Culture, Work Satisfaction"
Ernst & Young,3.5,10k,Management Consulting,London,,"Work Life Balance, Work Satisfaction, Promotions Appraisal"
IDFC FIRST Bank,4.0,9.7k,Banking,Mumbai,"Salary & Benefits, Skill Development Learning, Job Security",
DXC Technology,3.7,9.6k,IT Services & Consulting,Minato,Work Life Balance,"Promotions Appraisal, Salary & Benefits"
Mahindra & Mahindra,4.1,9.5k,Automobile,Mumbai,"Job Security, Skill Development Learning, Company Culture",
Infosys BPM,3.7,9.2k,BPO,Bangalore/Bengaluru,"Job Security, Skill Development Learning, Company Culture","Salary & Benefits, Promotions Appraisal"
